feature_0,feature_1,feature_2,label
0.26,-0.36,-0.99,1.0
-0.08,0.62,-0.15,1.0
0.03,0.75,0.09000000000000001,1.0
0.06,-0.6,-0.08,1.0
-0.08,1.29,0.36,1.0
0.04,0.4,-0.010000000000000002,1.0
0.36,-1.24,0.18,1.0
-0.04000000000000001,0.02,0.04,1.0
-0.16,0.51,0.01,1.0
0.0,-0.31,-0.060000000000000005,1.0
0.74,1.33,0.72,1.0
-0.020000000000000004,0.11,-0.01,1.0
0.04,-0.57,0.03,1.0
0.16,1.35,0.17,1.0
0.06,-0.59,0.27,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
-0.09,0.89,0.12000000000000001,1.0
-0.06,0.73,-0.16,1.0
-0.1,0.41000000000000003,-0.2,1.0
-0.020000000000000004,0.41000000000000003,-0.15000000000000002,1.0
-0.020000000000000004,0.02,-0.01,1.0
0.07,-0.64,0.04,1.0
0.12,-0.91,0.07,1.0
0.25,-0.82,0.08,1.0
0.25,-0.3,-0.09,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
-0.010000000000000002,0.01,-0.04,1.0
0.0,0.11,-0.03,1.0
-0.010000000000000002,0.47000000000000003,0.09000000000000001,1.0
0.009999999999999998,0.86,-0.04,1.0
-0.08,0.46,-0.09,1.0
-0.06,0.4,-0.05,1.0
-0.020000000000000004,0.29000000000000004,0.01,1.0
-0.010000000000000002,-0.08,0.0,1.0
0.08,-0.51,0.019999999999999997,1.0
0.14,-0.57,-0.11,1.0
0.09,-0.31,0.03,1.0
0.2,-0.57,0.11,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
-0.45999999999999996,-0.13999999999999999,0.18,1.0
0.0,-0.16,-0.03,1.0
0.31000000000000005,0.4,0.0,1.0
-0.1,1.09,0.03,1.0
0.04,1.1300000000000001,-0.04,1.0
0.09,0.59,0.07,1.0
0.03,0.42,0.09000000000000001,1.0
-0.010000000000000002,-0.38,-0.11,1.0
0.04,-1.74,-0.19,1.0
0.019999999999999997,-1.0,-0.12,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.09999999999999999,0.03,1.0
0.0,0.17,0.04,1.0
0.1,0.88,0.16999999999999998,1.0
-0.020000000000000004,0.76,0.11,1.0
-0.010000000000000002,0.42,0.03,1.0
0.0,0.38,-0.05,1.0
-0.020000000000000004,0.18000000000000002,-0.03,1.0
0.0,-0.39999999999999997,-0.06999999999999999,1.0
-0.020000000000000004,-0.8,-0.11,1.0
0.08,-0.73,-0.24000000000000002,1.0
0.05,-0.27999999999999997,-0.18000000000000002,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
-0.020000000000000004,0.060000000000000005,-0.01,1.0
0.0,0.27,0.12000000000000001,1.0
-0.09,0.96,0.12000000000000001,1.0
-0.25,0.71,-0.15000000000000002,1.0
-0.06,0.38,0.04,1.0
0.05,0.26,-0.02,1.0
0.04,-0.22,0.0,1.0
-0.07,-0.66,-0.18000000000000002,1.0
0.08,-0.79,-0.04,1.0
0.15,-0.47,-0.14,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
-0.010000000000000002,0.05,-0.02,1.0
-0.04000000000000001,0.04,-0.03,1.0
0.019999999999999997,0.51,0.21,1.0
-0.07,0.86,0.19999999999999998,1.0
-0.06,0.43,0.01,1.0
-0.26,0.48,-0.21000000000000002,1.0
0.04,0.27,-0.03,1.0
-0.020000000000000004,-0.33999999999999997,-0.04,1.0
0.06,-0.97,-0.15000000000000002,1.0
0.17,-0.91,-0.21000000000000002,1.0
0.0,-0.13,-0.04,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.4,0.13,1.0
-0.08,0.5,0.12000000000000001,1.0
-0.04000000000000001,0.4,0.019999999999999997,1.0
-0.04000000000000001,0.37,0.01,1.0
-0.07,0.36,-0.04,1.0
-0.020000000000000004,0.26,-0.03,1.0
0.0,0.02,0.0,1.0
-0.010000000000000002,-0.42,0.04,1.0
0.03,-1.49,-0.48,1.0
