feature_0,feature_1,feature_2,label
2.6837150000000003,-0.864868,-1.732788,0.0
1.524048,-6.235962,12.061157,0.0
-0.123902,-8.921509,24.512329,0.0
-2.9315189999999998,1.6986089999999998,6.079712,0.0
-9.584351,2.125855,5.835571,0.0
-8.119506999999999,1.8817139999999999,5.042115,0.0
-2.626343,-0.376587,3.0279540000000003,0.0
2.134399,0.661011,-0.8782960000000001,0.0
4.819946,1.393433,-6.9818109999999995,0.0
2.50061,-2.3297120000000002,-9.362182,0.0
-0.429077,1.8817139999999999,-1.305542,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-4.615478,-7.458496,-1.417236,0.0
-10.535889000000001,-7.458496,3.0383299999999998,0.0
5.638427999999999,-7.702636,18.297119,0.0
-4.066162,-5.6884760000000005,29.649658,0.0
-15.662842,-2.209472,18.7854,0.0
-16.456299,-12.951661000000001,24.339599,0.0
-2.845459,-2.087402,21.043701,0.0
-4.005127,-2.148437,0.596924,0.0
-6.629639,1.818848,18.236084,0.0
-9.13208,-8.679199,10.667724999999999,0.0
-8.277588000000002,-2.8198239999999997,4.197998,0.0
-1.5637210000000001,-5.9326170000000005,-1.1730960000000001,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-5.286865000000001,-5.993652,4.320068,0.0
-10.352782999999999,-5.871582,-1.905518,0.0
-8.155517,-18.75,-3.370361,0.0
6.431884999999999,-5.9326170000000005,14.390869,0.0
-6.99585,-15.148926000000001,23.973389,0.0
-7.056884999999999,-5.566406,30.198974,0.0
-0.526123,-5.871582,27.513428,0.0
-10.780028999999999,-5.505371,14.024658,0.0
-7.911377,-13.562011,13.292236,0.0
-6.263428,-8.679198999999999,12.62085,0.0
-6.385498,-11.18164,7.06665,0.0
-6.263428,-5.505370999999999,1.02417,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-9.071045,-5.078125,-5.628662,0.0
-8.826903999999999,-2.8808589999999996,0.047607,0.0
-1.5637210000000001,-8.740234000000001,8.775635,0.0
2.70874,-7.8857420000000005,22.142334,0.0
-4.249267,-10.510254,14.63501,0.0
-5.714111,-4.528808,7.677002000000001,0.0
-9.803467,-4.284668,13.170166,0.0
-5.714111,-2.9418939999999996,11.522217000000001,0.0
-7.911377,-2.087402,14.818115,0.0
-9.986571999999999,-3.430176,21.348877,0.0
