0.025024, 0.038452, 0.063477, -1.249390, 13.193970, -18.545532
0.086060, 0.099487, -0.058594, 7.417603, -1.759644, -11.160278
0.086060, -0.022583, 0.002441, 8.821411, 2.756958, -31.973267
0.086060, 0.038452, -0.058594, 6.074829, 4.038696, -12.747192
0.025024, 0.038452, 0.002441, 4.304810, -0.355835, -16.348267
0.147095, 0.038452, 0.002441, 2.778931, 4.588013, -4.690552
0.086060, -0.022583, 0.002441, -1.310425, -3.468628, -11.404419
0.086060, -0.022583, 0.002441, -1.127319, 1.536255, -2.249146
0.086060, 0.099487, 0.002441, 7.600708, -1.637573, -2.737427
0.147095, -0.022583, -0.058594, 4.426880, -3.529663, -5.789185
0.147095, -0.022583, 0.002441, 1.985474, -7.557983, -8.047485
0.086060, -0.083618, 0.002441, 3.450317, 0.559692, -4.507446
